var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14
11067,com.atlassian.plugins.less.WebStaticUriResolver.open(Ljava/net/URI;)Ljava/io/InputStream;,WebStaticUriResolver.open(),,,,,2905,other,194,com.atlassian.plugins.less.WebStaticUriResolver,1,66,WebStaticUriResolver.java
11068,com.google.common.collect.Maps$FilteredEntryMap$EntrySet.delegate()Ljava/util/Set;,Maps$FilteredEntryMap$EntrySet.delegate(),,,,,2744,third_party,181,com.google.common.collect.Maps$FilteredEntryMap$EntrySet,1,2868,Maps.java
11069,com.google.common.collect.Maps$FilteredEntryMap$EntrySet.delegate()Ljava/util/Collection;,Maps$FilteredEntryMap$EntrySet.delegate(),,,,,2744,third_party,181,com.google.common.collect.Maps$FilteredEntryMap$EntrySet,1,2864,Maps.java
11070,java.lang.reflect.Method.getModifiers()I,Method.getModifiers(),,,,,112,third_party,176,java.lang.reflect.Method,1,-2,
11071,java.lang.reflect.Method.isBridge()Z,Method.isBridge(),,,,,112,third_party,176,java.lang.reflect.Method,1,-2,
11072,com.atlassian.plugin.webresource.WebResourceModuleDescriptor.getDataProviders()Ljava/util/Map;,WebResourceModuleDescriptor.getDataProviders(),,,,,1509,infra,185,com.atlassian.plugin.webresource.WebResourceModuleDescriptor,1,364,WebResourceModuleDescriptor.java
11073,com.atlassian.greenhopper.web.rapid.view.KanPlanEpicsOnboardingDataProvider.get()Lcom/atlassian/json/marshal/Jsonable;,KanPlanEpicsOnboardingDataProvider.get(),,,,,2923,other,186,com.atlassian.greenhopper.web.rapid.view.KanPlanEpicsOnboardingDataProvider,1,29,KanPlanEpicsOnboardingDataProvider.java
11074,com.atlassian.greenhopper.web.rapid.view.KanPlanEpicsOnboardingDataProvider.get()Ljava/lang/Object;,KanPlanEpicsOnboardingDataProvider.get(),,,,,2923,other,185,com.atlassian.greenhopper.web.rapid.view.KanPlanEpicsOnboardingDataProvider,1,15,KanPlanEpicsOnboardingDataProvider.java
11075,com.atlassian.greenhopper.web.rapid.sprint.SprintGoalOnboardingDataProvider.get()Lcom/atlassian/json/marshal/Jsonable;,SprintGoalOnboardingDataProvider.get(),,,,,2924,other,186,com.atlassian.greenhopper.web.rapid.sprint.SprintGoalOnboardingDataProvider,1,31,SprintGoalOnboardingDataProvider.java
11076,com.atlassian.greenhopper.web.rapid.sprint.SprintGoalOnboardingDataProvider.get()Ljava/lang/Object;,SprintGoalOnboardingDataProvider.get(),,,,,2924,other,185,com.atlassian.greenhopper.web.rapid.sprint.SprintGoalOnboardingDataProvider,1,17,SprintGoalOnboardingDataProvider.java
11077,com.google.common.cache.LocalCache$WriteQueue$1.getPreviousInWriteQueue()Lcom/google/common/cache/ReferenceEntry;,LocalCache$WriteQueue$1.getPreviousInWriteQueue(),,,,,2781,third_party,213,com.google.common.cache.LocalCache$WriteQueue$1,1,3646,LocalCache.java
11078,org.ofbiz.core.entity.GenericEntity.isPrimaryKey()Z,GenericEntity.isPrimaryKey(),,,,,1921,third_party,29,org.ofbiz.core.entity.GenericEntity,1,255,GenericEntity.java
11080,com.atlassian.jira.plugin.JiraServletContextFactory.getServletContext()Ljavax/servlet/ServletContext;,JiraServletContextFactory.getServletContext(),,,,,2925,other,192,com.atlassian.jira.plugin.JiraServletContextFactory,1,13,JiraServletContextFactory.java
11084,java.net.URI$Parser.substring(II)Ljava/lang/String;,URI$Parser.substring(),,,,,337,third_party,177,java.net.URI$Parser,1,-2,
11085,com.atlassian.plugin.PluginAccessor.getActiveModuleDescriptorsByClass(Ljava/lang/Class;)Ljava/util/List;,PluginAccessor.getActiveModuleDescriptorsByClass(),,,,,2926,other,20,com.atlassian.plugin.PluginAccessor,1,183,PluginAccessor.java
11086,com.atlassian.plugin.manager.ForwardingPluginAccessor.getActiveModuleDescriptorsByClass(Ljava/lang/Class;)Ljava/util/List;,ForwardingPluginAccessor.getActiveModuleDescriptorsByClass(),,,,,576,infra,17,com.atlassian.plugin.manager.ForwardingPluginAccessor,1,40,ForwardingPluginAccessor.java
11087,com.atlassian.plugin.manager.EnabledModuleCachingPluginAccessor.getActiveModuleDescriptorsByClass(Ljava/lang/Class;)Ljava/util/List;,EnabledModuleCachingPluginAccessor.getActiveModuleDescriptorsByClass(),,,,,575,infra,18,com.atlassian.plugin.manager.EnabledModuleCachingPluginAccessor,1,35,EnabledModuleCachingPluginAccessor.java
11088,com.atlassian.plugin.manager.ProductPluginAccessor.getActiveModuleDescriptorsByClass(Ljava/lang/Class;)Ljava/util/List;,ProductPluginAccessor.getActiveModuleDescriptorsByClass(),,,,,577,infra,16,com.atlassian.plugin.manager.ProductPluginAccessor,1,18,ProductPluginAccessor.java
11089,com.atlassian.upgrade.core.DefaultUpgradeTaskManager.getUpgradeTaskFactoryModules()Ljava/util/List;,DefaultUpgradeTaskManager.getUpgradeTaskFactoryModules(),,,,,2831,other,15,com.atlassian.upgrade.core.DefaultUpgradeTaskManager,1,141,DefaultUpgradeTaskManager.java
11090,java.lang.Boolean.parseBoolean(Ljava/lang/String;)Z,Boolean.parseBoolean(),,,,,459,third_party,185,java.lang.Boolean,1,-2,
11091,java.net.URI.hashCode()I,URI.hashCode(),,,,,338,third_party,188,java.net.URI,1,-2,
11092,com.atlassian.plugins.less.WebStaticUriResolver.exists(Ljava/net/URI;)Z,WebStaticUriResolver.exists(),,,,,2905,other,194,com.atlassian.plugins.less.WebStaticUriResolver,1,34,WebStaticUriResolver.java
11093,sun.net.www.MimeTable.findByExt(Ljava/lang/String;)Lsun/net/www/MimeEntry;,MimeTable.findByExt(),,,,,1315,third_party,0,sun.net.www.MimeTable,2,-2,
11094,com.google.common.io.LineReader$1.handleLine(Ljava/lang/String;Ljava/lang/String;)V,LineReader$1.handleLine(),,,,,2927,third_party,198,com.google.common.io.LineReader$1,1,51,LineReader.java
11095,java.util.concurrent.CopyOnWriteArraySet.iterator()Ljava/util/Iterator;,CopyOnWriteArraySet.iterator(),,,,,2928,third_party,197,java.util.concurrent.CopyOnWriteArraySet,1,-2,
11096,com.google.common.collect.Iterables$UnmodifiableIterable.iterator()Ljava/util/Iterator;,Iterables$UnmodifiableIterable.iterator(),,,,,2929,third_party,196,com.google.common.collect.Iterables$UnmodifiableIterable,1,101,Iterables.java
11097,com.atlassian.plugins.less.UriResolverManager.getResolver(Ljava/net/URI;)Lcom/atlassian/lesscss/spi/UriResolver;,UriResolverManager.getResolver(),,,,,2930,other,192,com.atlassian.plugins.less.UriResolverManager,1,26,UriResolverManager.java
11098,com.atlassian.plugins.less.UriResolverManager.getResolverOrThrow(Ljava/net/URI;)Lcom/atlassian/lesscss/spi/UriResolver;,UriResolverManager.getResolverOrThrow(),,,,,2930,other,193,com.atlassian.plugins.less.UriResolverManager,1,13,UriResolverManager.java
11099,com.google.common.collect.Iterables.unmodifiableIterable(Ljava/lang/Iterable;)Ljava/lang/Iterable;,Iterables.unmodifiableIterable(),,,,,523,third_party,200,com.google.common.collect.Iterables,1,72,Iterables.java
11100,com.atlassian.plugin.tracker.DefaultPluginModuleTracker.getModuleDescriptors()Ljava/lang/Iterable;,DefaultPluginModuleTracker.getModuleDescriptors(),,,,,2931,other,199,com.atlassian.plugin.tracker.DefaultPluginModuleTracker,1,61,DefaultPluginModuleTracker.java
11101,com.atlassian.plugin.tracker.DefaultPluginModuleTracker.getModules()Ljava/lang/Iterable;,DefaultPluginModuleTracker.getModules(),,,,,2931,other,198,com.atlassian.plugin.tracker.DefaultPluginModuleTracker,1,65,DefaultPluginModuleTracker.java
11102,com.atlassian.plugins.less.PluggableUriResolverManager.getResolvers()Ljava/lang/Iterable;,PluggableUriResolverManager.getResolvers(),,,,,2932,other,197,com.atlassian.plugins.less.PluggableUriResolverManager,1,27,PluggableUriResolverManager.java
11103,com.atlassian.plugins.less.UriResolverManager.isUriSupported(Ljava/net/URI;)Z,UriResolverManager.isUriSupported(),,,,,2930,other,195,com.atlassian.plugins.less.UriResolverManager,1,21,UriResolverManager.java
11106,java.net.URI$Parser.at(IIC)Z,URI$Parser.at(),,,,,337,third_party,177,java.net.URI$Parser,1,-2,
11107,org.slf4j.impl.Log4jLoggerAdapter.info(Ljava/lang/String;[Ljava/lang/Object;)V,Log4jLoggerAdapter.info(),,,,,915,third_party,16,org.slf4j.impl.Log4jLoggerAdapter,1,366,Log4jLoggerAdapter.java
11109,com.google.common.cache.LocalCache$StrongAccessWriteEntry.getPreviousInAccessQueue()Lcom/google/common/cache/ReferenceEntry;,LocalCache$StrongAccessWriteEntry.getPreviousInAccessQueue(),,,,,2618,third_party,177,com.google.common.cache.LocalCache$StrongAccessWriteEntry,2,1109,LocalCache.java
11111,com.atlassian.plugin.manager.ProductPluginAccessorBase.lambda$getEnabledPlugins$0(Lcom/atlassian/plugin/Plugin;)Z,ProductPluginAccessorBase.lambda$getEnabledPlugins$0(),,,,,573,infra,24,com.atlassian.plugin.manager.ProductPluginAccessorBase,1,78,ProductPluginAccessorBase.java
11112,com.atlassian.plugin.manager.ProductPluginAccessorBase$$Lambda$225.1171234391.test(Ljava/lang/Object;)Z,test(),,,,,2933,other,30,com.atlassian.plugin.manager.ProductPluginAccessorBase$$Lambda$225.1171234391,1,-2,
11113,sun.security.jca.ProviderConfig.getProvider()Ljava/security/Provider;,ProviderConfig.getProvider(),,,,,2934,third_party,0,sun.security.jca.ProviderConfig,2,-2,
11114,sun.security.jca.ProviderList.getProvider(I)Ljava/security/Provider;,ProviderList.getProvider(),,,,,2393,third_party,0,sun.security.jca.ProviderList,2,-2,
11119,java.util.zip.Inflater.needsDictionary()Z,Inflater.needsDictionary(),,,,,772,third_party,36,java.util.zip.Inflater,1,-2,
11121,com.google.common.cache.LocalCache$AccessQueue$1.setNextInAccessQueue(Lcom/google/common/cache/ReferenceEntry;)V,LocalCache$AccessQueue$1.setNextInAccessQueue(),,,,,2750,third_party,177,com.google.common.cache.LocalCache$AccessQueue$1,2,3778,LocalCache.java
11122,org.springframework.util.ReflectionUtils.isHashCodeMethod(Ljava/lang/reflect/Method;)Z,ReflectionUtils.isHashCodeMethod(),,,,,511,third_party,191,org.springframework.util.ReflectionUtils,1,397,ReflectionUtils.java
11123,org.springframework.aop.support.AopUtils.isHashCodeMethod(Ljava/lang/reflect/Method;)Z,AopUtils.isHashCodeMethod(),,,,,114,third_party,190,org.springframework.aop.support.AopUtils,1,158,AopUtils.java
11124,com.google.common.collect.Iterables$5.<init>(Ljava/lang/Iterable;Lcom/google/common/base/Function;)V,Iterables$5.<init>(),,,,,2648,third_party,189,com.google.common.collect.Iterables$5,1,695,Iterables.java
11126,com.atlassian.jira.project.archiving.ArchivedStatistics.calculateIssuesInArchivedProjectsCount()Ljava/lang/Integer;,ArchivedStatistics.calculateIssuesInArchivedProjectsCount(),,,,,2886,other,20,com.atlassian.jira.project.archiving.ArchivedStatistics,1,82,ArchivedStatistics.java
